Название;Место;Дата проведения;Организатор;Ссылка
Евразийский Ортопедический Форум 2021 - международный форум по ортопедии, травматологии и экономики здравоохранения (оффлайн+онлайн);"Россия, Москва , Технопарк ""Сколково"""; с 25 по 26 июня ;Евразийский Ортопедический Форум;https://expomap.ru/conference/evrazijskij-ortopedicheskij-forum-2021/
Белая конфа 2021 - конференция по проблемам онлайн-образования (оффлайн+онлайн);Россия, Санкт-Петербург , Holiday Inn St. Petersburg Moskovskye Vorota; с 26 по 28 июня ;Event-маркетинг от А до Я;https://expomap.ru/conference/belaja-konfa-2021/
Retail Shopfitting & Display Summit 2021 - саммит по розничной торговле (оффлайн+онлайн);Великобритания, Лондон , Radisson Red London Heathrow; с 8 по 9 марта с 28 по 29 июня ;Forum Events Limited;https://expomap.ru/conference/retail-shopfitting-display-summit-2021/
Facilities Management (FM) Forum Hybrid 2021 - форум по управлению и эксплуатации объектов недвижимости (оффлайн+онлайн);Великобритания, Лондон; с 28 по 29 июня ;Forum Events Limited;https://expomap.ru/conference/facilities-management-fm-forum-hybrid-2021/
ISS World Middle East 2021 - международная конференция и выставка систем и технологий сбора данных, разведки и криминалистики;ОАЭ, Дубай , JW Mariott; с 1 по 3 марта с 28 по 30 июня ;TeleStrategies;https://expomap.ru/conference/iss-world-middle-east-2021/
Мать и Дитя 2021 - региональный научно-образовательный форум и пленум правления РОАГ (оффлайн+онлайн);Россия, Москва , ФГБУ «НМИЦ АГП им. В.И. Кулакова» Минздрава России; с 28 по 30 июня ;Министерство здравоохранения РФ, НМИЦ АГП им. В.И. Кулакова, Mediexpo;https://expomap.ru/conference/mat-i-ditja-2021/
ISC Frankfurt 2021 - международная конференция по суперкомпьютерам;Германия, Франкфурт , Messe Frankfurt; с 27 июня по 1 июля ;ISC Group;https://expomap.ru/conference/isc-frankfurt-2021/
Servparc 2021 - конференция по управлению, промышленным услугам и IT-решениям;Германия, Франкфурт; с 30 июня по 1 июля ;Mesago Messe Frankfurt GmbH;https://expomap.ru/conference/servparc-2021/
Intenational Symposium on Mineral Nutrition of Fruits Crops 2021 - международный симпозиум здорового питания;Израиль, Иерусалим , Yearim Hotel; с 27 июня по 1 июля ;ORTRA Ltd.;https://expomap.ru/conference/intenational-symposium-on-mineral-nutrition-of-fruits-crops-2021/
International Society of Heart Research Meeting (ISHR) EU 2021 - собрание международного общества исследования болезней сердца;Италия, Турин; с 29 июня по 2 июля ;International Society of Heart Research;https://expomap.ru/conference/international-society-of-heart-research-meeting-ishr-eu-2021/
Project Management Forum 2021 - всероссийский форум по проектному управлению;Россия, Москва , Холидей Инн Москва Сущевский; с 1 по 2 июля ;Interforum;https://expomap.ru/conference/project-management-forum-2021/
African Smart Cities Summit 2021 - саммит умных технологий для городского хозяйства;Южно-Африканская Республика, Йоханнесбург; с 29 июня по 2 июля ;DMG Events;https://expomap.ru/conference/african-smart-cities-summit-2021/
London Affiliate Conference (LAC) 2021 - конференция маркетинга и партнерских программ;Великобритания, Лондон , ExCeL London; с 3 по 6 февраля с 30 июня по 3 июля ;iGB Affiliate;https://expomap.ru/conference/london-affiliate-conference-lac-2021/
Moscow Urban Forum 2021 - международный конгресс градостроительства, архитектуры, экономики и стратегического планирования городов;Россия, Москва , Зарядье; с 1 по 4 июля ;АНО «Московский урбанистический форум»;https://expomap.ru/conference/moscow-urban-forum-2021/
Conference on Hypertension & Cardio Metabolism 2021 - международная конференция по гипертонии и сердечно-сосудистым заболеваниям;Великобритания, Лондон; с 5 по 6 июля ;Pulsus Group;https://expomap.ru/conference/conference-on-hypertension-cardio-metabolism-2021/
eTailing Summit 2021 - саммит по электронной коммерции (оффлайн+онлайн);Великобритания, Лондон; 11 февраля 2021 7 июля 2021 ;Forum Events Ltd;https://expomap.ru/conference/etailing-summit-2021/
Microscience Microscopy Congress (MMC) 2021 - конференция по микроскопии, научным исследованиям и технологиям;Великобритания, Манчестер , Manchester Central; с 5 по 8 июля ;Royal Microscopical Society;https://expomap.ru/conference/microscience-microscopy-congress-mmc-2021/
Восточный нефтегазовый форум 2021 - международный инвестиционный форум и выставка;Россия, Владивосток; с 7 по 8 июля ;Vostock Capital;https://expomap.ru/conference/vostochnyj-neftegazovyj-forum-2021/
Nigeria Oil and Gas Conference & Exhibition (NOG) 2021 - конференция и выставка нефтегазовой индустрии;Нигерия, Абуджа; с 5 по 8 июля ;DMG Events;https://expomap.ru/conference/nigeria-oil-and-gas-conference-exhibition-nog-2021/
International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD) 2021 - международная конференция по программной инженерии, искусственному интеллекту, сетевым технологиям и параллельным / распределенным вычислениям;Тайвань, Тайчжун , National Chin-Yi University of Technology; с 7 по 9 июля ;International Association for Computer and Information Science (ACIS);https://expomap.ru/conference/international-conference-on-software-engineering-artificial-intelligence-networking-and-paralleldistributed-computing-snpd-2021/
Asset Recovery LatAm 2021 - международная выставка финансов и судебной защиты;Бразилия, Сан-Паулу; с 8 по 9 июля ;Informa;https://expomap.ru/conference/asset-recovery-latam-2021/
Безопасность на транспорте 2021 - международный форум;"Россия, Санкт-Петербург , КВЦ ""Экспофорум"""; с 8 по 9 июля ;Conference Point;https://expomap.ru/conference/bezopasnost-na-transporte-2021/
Налогообложение холдинговых структур: оптимизация и риски 2021;Россия, Москва; 9 июля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/nalogooblozhenie-holdingovyh-struktur-optimizatsija-i-riski-2021/
Nanotexnology Conference 2021 - международная конференция по нанотехнологиям, органической электронике и устройствам;Греция, Салоники; с 3 по 10 июля ;TIF HELEXPO SA - Thessaloniki International Exhibition & Congress Centre;https://expomap.ru/conference/nanotexnology-conference-2021/
An Event Apart Washington DC 2021 - конференция для веб-разработчиков;США, Вашингтон , Washington Marriott Wardman Park; с 12 по 14 июля ;An Event Apart LLC;https://expomap.ru/conference/an-event-apart-washington-dc-2021/
Здоровье нации – основа процветания России 2021 - всероссийский форум;Россия, Москва , Гостиный Двор; с 13 по 15 июля ;Общероссийская общественная организация «Лига здоровья нации»;https://expomap.ru/conference/zdorovie-natsii-osnova-protsvetaniya-rossii-2021/
International Wood Construction Forum Paris 2021 - международный форум деревянного домостроения;Франция, Париж , Grand Palais; с 15 по 17 июля ;Forum Bois Construction;https://expomap.ru/conference/international-wood-construction-forum-paris-2021/
ISC West 2021 - конференция по безопасности;США, Лас-Вегас , Sands Expo & Venetian; с 23 по 26 марта с 19 по 21 июля ;Reed Exhibitions USA;https://expomap.ru/conference/isc-west-2021/
IAFP Meeting 2021 - конференция по безопасности и качеству продуктов питания;США, Финикс , Phoenix Convention Center; с 18 по 21 июля ;DSM Corporate, International Association for Food Protection (IAFP);https://expomap.ru/conference/iafp-meeting-2021/
World Mining Congress 2021 - конгресс по добыче полезных ископаемых;Австралия, Брисбен , brisbane-convention-exhibition-centre; с 19 по 22 июля ;CSIRO;https://expomap.ru/conference/world-mining-congress-2021/
The Special Event (TSE) 2021 - конференция и выставка индустрии специальных событий;США, Майами , Miami Beach Convention Center; с 19 по 22 января с 19 по 22 июля ;Penton;https://expomap.ru/conference/the-special-event-tse-2021/
Game Developers Conference (GDC) 2021 - конференция разработчиков игр;США, Сан-Франциско; с 19 по 23 июля ;Informa Markets;https://expomap.ru/conference/game-developers-conference-gdc-2021/
PMA Foodservice 2021 - международная конференция и выставка продуктов питания и напитков;США, Монтерей; с 23 по 24 июля ;Produce Marketing Association (PMA) USA;https://expomap.ru/conference/pma-foodservice-2021/
International Conference on Computer Science Networks and Information Technology (ICCSNIT) 2021 - международная конференция по компьютерным сетям и информационным технологиям;Канада, Монреаль , University of Quebec; с 30 по 31 июля ;Innovative Research Publication;https://expomap.ru/conference/international-conference-on-computer-science-networks-and-information-technology-iccsnit-2021/
International Conference on Structural Civil and Architectural Engineering (ICSCAE) 2021 - международная конференция по структурному гражданскому и архитектурному проектированию;Канада, Монреаль , University of Quebec; с 30 по 31 июля ;Innovative Research Publication;https://expomap.ru/conference/international-conference-on-structural-civil-and-architectural-engineering-icscae-2021/
Мировой конгресс международного фонда расщелины губы и нёба 2021 - конгресс реконструктивной хирургии лица, головы и шеи;Россия, Санкт-Петербург; с 30 июля по 1 августа ;ООО «Мономакс»;https://expomap.ru/conference/mirovoj-kongress-mezhdunarodnogo-fonda-rasscheliny-guby-i-neba-2021/
Forum Deutscher Mittelstand 2021 - конференция по цифровым технологиям;Германия, Штутгарт , ICS Internationales Congresscenter Stuttgart; с 3 по 4 марта с 3 по 4 августа ;IPM AG;https://expomap.ru/conference/forum-deutscher-mittelstand-2021/
Global Blockchain Summit 2021 - международный практический саммит по блокчейн технологиям и криптовалюте;США, Денвер; с 4 по 5 августа ;Mania Events;https://expomap.ru/conference/global-blockchain-summit-2021/
Tanzania Oil & Gas Congress 2021 - нефтегазовый конгресс;Объединенная Республика Танзания, Дар-эс-Салам; с 4 по 5 августа ;DMG Events;https://expomap.ru/conference/tanzania-oil-gas-congress-2021/
Такси 2021 - международный евразийский форум таксомоторной отрасли;Россия, Москва; с 5 по 6 августа ;АНО «МЕФТ»;https://expomap.ru/conference/taxi-2021/
Buona Estetika 2021 - международный конгресс эстетики и здоровья;Аргентина, Буэнос-Айрес; с 7 по 8 августа ;BUONAESTETIKA;https://expomap.ru/conference/buona-estetika-2021/
Внутренний контроль и внутренний аудит как инструменты повышения эффективности бизнеса. Август 2021 - конференция;Россия, Москва; 12 августа 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/vnutrennij-kontrol-i-vnutrennij-audit-kak-instrumenty-povyshenija-effektivnosti-biznesa-august-2021/
IRGCE 2021 - международная конференция и выставка резиновых перчаток;Малайзия, Куала-Лумпур , Kuala Lumpur Convention Centre; с 11 по 13 августа ;Malaysian Rubber Glove Manufacturers Association Malaysia;https://expomap.ru/conference/irgce-2021/
South Atlantic Fire Rescue Convention (SAFRE) 2021 - международная конференция по пожарной безопасности;США, Роли; с 11 по 14 августа ;North Carolina State Firemens Association;https://expomap.ru/conference/south-atlantic-fire-rescue-convention-safre-2021/
AADE 2021 - конференция по лечению диабета;США, Финикс; с 13 по 16 августа ;American Association of Diabetes Educators - AADE;https://expomap.ru/conference/aade-2021/
ASAE Annual Meeting & Exposition 2021 - конференция и выставка индустрии встреч;США, Даллас; с 14 по 17 августа ;ASAE;https://expomap.ru/conference/asae-annual-meeting-exposition-2021/
Wedding & Portrait Photography International (WPPI) Conference 2021 - международная конференция и выставка свадебной и портретной фотографии;США, Лас-Вегас , Mirage; с 7 по 11 марта с 15 по 19 августа ;WPPI Nielsen Expositions;https://expomap.ru/conference/wedding-portrait-photography-international-wppi-conference-2021/
Offshore Technology Conference (OTC) 2021 - конференция и выставка технологий нефтедобывающей промышленности;США, Хьюстон , NRG Park; с 3 по 6 мая с 16 по 19 августа ;SPE;https://expomap.ru/conference/offshore-technology-conference-otc-2021/
International Symposium on Photonics and Optoelectronics (SOPO) 2021 - международный симпозиум по фотонике и оптоэлектронике;Китай, Гуйлинь , Kunming Jin Jiang Hotel; с 17 по 19 августа ;IEEE;https://expomap.ru/conference/international-symposium-on-photonics-and-optoelectronics-sopo-2021/
International Conference on Energy System and Renewable Energy Technologies (ICESRET) Thailand 2021 - международная конференция по энергетическим системам и технологиям возобновляемой энергии;Таиланд, Бангкок; с 19 по 20 августа ;World Academy of Science Engineering and Technology;https://expomap.ru/conference/international-conference-on-energy-system-and-renewable-energy-technologies-icesret-thailand-2021/
Face & Body Northern California 2021 - международная конференция косметологов по уходу за кожей;США, Сан-Хосе , McEnery Convention Center; с 22 по 23 августа ;Allured Business Media;https://expomap.ru/conference/face-body-conference-2021/
ЕвроКом 2021 - российско-Прибалтийский культурно-экономический форум;Эстония, Таллин , Pirita tee 20; с 23 по 25 августа ;Аналитикос;https://expomap.ru/conference/eurocom-2021/
IMAF 2021 - международный форум автомобилестроения в составе MIMS Automechanika Moscow;Россия, Москва , ЦВК «Экспоцентр»; с 24 по 25 августа ;Мессе Франкфурт РУС;https://expomap.ru/conference/imaf-2021/
International Luxury Property and Residency Conference Cyprus 2021 - международная конференция и выставка по элитной недвижимости;Кипр, Лимассол , Amara hotel; с 24 по 25 августа ;ILP Group Ltd. UK;https://expomap.ru/conference/international-luxury-property-and-residency-conference-cyprus-2021/
Microscopy Conference 2021 - международная конференция микроскопии;Австрия, Вена , Messe Wien; с 22 по 26 августа ;DGE;https://expomap.ru/conference/microscopy-conference-2021/
Front Conference Zurich 2021 - конференция для веб-разработчиков;Швейцария, Цюрих , Alte Papierfabrik; с 26 по 27 августа ;Frontend Conference Association;https://expomap.ru/conference/front-conference-zurich-2021/
International Society of Aesthetic Plastic Surgery (ISAPS) World Congress 2021 - всемирный конгресс пластических хирургов;Австрия, Вена , Austria Center Vienna; с 9 по 12 сентября ;Boeld communication GmbH;https://expomap.ru/conference/international-society-of-aesthetic-plastic-surgery-isaps-world-congress-2021/
Международный конгресс по респираторной поддержке 2021 - конгресс;Россия, Красноярск; с 11 по 13 сентября ;Красноярский государственный медицинский университет;https://expomap.ru/conference/mezhdunarodnyij-kongress-po-respiratornoj-podderzhke-2021/
Celle Drilling 2021 - конференция по технологиям бурения;Германия, Целле; с 14 по 15 сентября ;GeoEnergy Celle e.V Germany;https://expomap.ru/conference/celle-drilling-2021/
Well-Being Force 2021 - всероссийский форум заботы о здоровье и благополучии сотрудников;Россия, Москва , Hilton Garden Inn Moscow Krasnoselskaya; 15 сентября 2021 ;Auditorium CG;https://expomap.ru/conference/well-being-force-2021/
Subcon Conf 2021 - конференция по вопросам контрактного производства и промышленных технологий;Великобритания, Бирмингем , NEC Birmingham; с 26 по 28 января с 14 по 16 сентября ;O'Reilly Media, Inc.;https://expomap.ru/conference/subcon-conf-2021/
EMC 2021 - энергетическая конференция и выставка Восточного Средиземноморья;Кипр, Никосия , Filoxenia Conference Centre; с 14 по 16 сентября ;Rota Limited, Athens Greece;https://expomap.ru/conference/emc-2021/
Southeastern Lumber Manufacturers Association (SLMA) D.C. Summit 2021 - международная конференция производителей твердых пиломатериалов;США, Вашингтон , Liaison Capitol Hill; с 14 по 16 сентября ;Southeastern Lumber Manufacturers Association(SLMA);https://expomap.ru/conference/southeastern-lumber-manufacturers-association-slma-dc-summit-2021/
Конференция по нагрузочному тестированию 2021;Россия, Москва; 16 сентября 2021 ;Перфоманс Лаб;https://expomap.ru/conference/konferentsija-po-nagruzochnomu-testirovaniju-2021/
TNF 2021 - международный форум и выставка инноваций ТЭК;Россия, Тюмень , Западно-Сибирский Инновационный Центр; с 14 по 16 сентября ;Нефтегазовый кластер;https://expomap.ru/expo-b/click/7026//
EUHA Congress 2021 - международный конгресс по слухопротезированию;Германия, Ганновер , Deutsche Messe; с 15 по 17 сентября ;The European Union of Hearing Aid Acousticians (EUHA);https://expomap.ru/conference/euha-congress-2021/
EUHA International Congress of Hearing Aid Acousticians 2021 - международный конгресс по инновацим в области слуховых аппаратов;Германия, Ганновер , Deutsche Messe Hannover; с 15 по 17 сентября ;The European Union of Hearing Aid Acousticians (EUHA);https://expomap.ru/conference/euha-landestagung-sud-2021/
International Symposium on Human Identification (ISHI) 2021 - международный симпозиум по криминалистике и идентификации людей по ДНК;США, Орландо , Coronado Springs Resort; с 14 по 17 сентября ;Promega Corporation;https://expomap.ru/conference/international-symposium-on-human-identification-ishi-2021/
Санкт-Петербургский международный Контент Форум 2021;"Россия, Санкт-Петербург , КВЦ ""Экспофорум"""; с 14 по 17 сентября ;IMD Expo International;https://expomap.ru/conference/sankt-peterburgskij-mezhdunarodnyj-kontent-forum-2021/
Корпоративное обучение и развитие персонала 2021 - всероссийский HR форум по обучению и развитию персонала в современном мире;Россия, Москва , Холидей Инн Москва Сущевский; с 15 по 17 сентября ;INTERFORUM;https://expomap.ru/conference/korporativnoe-obuchenie-i-razvitie-personala-2021/
C&B Russia Summit. Осень 2021 - всероссийский саммит по мотивации персонала;Россия, Москва , Hilton Garden Inn Moscow; с 16 по 17 сентября ;Auditorium CG;https://expomap.ru/conference/c-b-russia-summit-osen-2021/
Информационные технологии в промышленности 2021 - дискуссионная встреча;Россия, Москва; 18 сентября 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/informatsionnye-tehnologii-v-promyshlennosti-2021/
Automechanika Conference 2021 - международный форум автомобильной промышленности;Германия, Франкфурт , Messe Frankfurt; с 14 по 18 сентября ;Messe Frankfurt Group;https://expomap.ru/conference/automechanika-conference-2021/
Free/Libre Software and GNU/Linux Conference 2021 - конференция бесплатному программному обеспечению с открытым исходным кодом;Украина, Киев , Nivki-hall; 18 сентября 2021 ;OSDNConf;https://expomap.ru/conference/freelibre-software-and-gnulinux-conference-2021/
Цифровизация транспорта 2021. Процесс трансформации: оценка и перспективы. - конференция;Россия, Москва; 21 сентября 2021 ;"Центр конференций ""Сегодня""";https://expomap.ru/conference/tsifrovizatsija-transporta-2021-protsess-transformatsii-otsenka-i-perspektivy/
Transport Evolution Africa Forum & Expo 2021 - транспортный форум и выставка;Южно-Африканская Республика, Дурбан; с 21 по 22 сентября ;DMG Events;https://expomap.ru/conference/transport-evolution-africa-forum-expo/
Стратегия МСБ 2021 - всероссийский банковский форум;Россия, Москва , Marriott Moscow Hotel Novy Arbat; 22 сентября 2021 ;Auditorium CG;https://expomap.ru/conference/strategija-msb-2021/
AEE Europe Energy 2021 - международный форум энергетики;Ирландия, Дублин , Citywest Convention Centre; с 22 по 23 сентября ;AEE USA;https://expomap.ru/conference/aee-europe-energy-2021/
IPMA World Congress 2021 - всемирный конгресс по проектному управлению в эпоху цифровой трансформации (оффлайн+онлайн);Россия, Санкт-Петербург , Holiday Inn; с 21 по 23 сентября ;IPMA, СОВНЕТ;https://expomap.ru/conference/ipma-world-congress-2021/
"AlumForum 2021 - международный форум ""Алюминий в архитектуре и строительстве""";Россия, Москва , Технопарк Сколково; с 21 по 23 сентября ;Союз архитекторов России, Союз московских архитекторов;https://expomap.ru/conference/alumforum-2021/
ArchGlass 2021 - международный форум индустрии архитектурного стекла;Россия, Москва , Технопарк Сколково; с 21 по 23 сентября ;Союз архитекторов России, Союз московских архитекторов;https://expomap.ru/conference/archglass-2021/
NordicJS 2021 - конференция по JavaScript;Швеция, Стокгольм; с 7 по 8 октября ;Nordic.js;https://expomap.ru/conference/nordicjs-2021/
OpenBio 2021 - научная конференция, выставка и форум в области биофармацевтики и биотехнологии;Россия, Новосибирск , Наукоград Кольцово; с 5 по 8 октября ;АНО «Инновационный центр Кольцово»;https://expomap.ru/conference/openbio-2021/
An Event Apart Denver 2021 - конференция для веб-разработчиков;США, Денвер , Denver Hilton City Center; с 11 по 13 октября ;An Event Apart LLC;https://expomap.ru/conference/an-event-apart-denver-2021/
World Publishing Expo (IFRA Conference) 2021 - всемирный газетный конгресс;Германия, Берлин , Arena Berlin; с 13 по 14 октября ;Publishing Exhibition GmbH & Co. KG;https://expomap.ru/conference/world-publishing-expo-ifra-conference-2021/
Биотехнология: состояние и перспективы развития 2021 - международный конгресс;Россия, Москва , Гостинный двор; с 26 по 29 октября ;Институт биохимической физики им. Н.М.Эмануэля РАН;https://expomap.ru/conference/biotehnologija-sostojanie-i-perspektivy-razvitija-2021/
Annual Meeting of the American Academy of Child and Adolescent Psychiatry (AACAP) 2021 - ежегодная конференция Американской академии детской и подростковой психиатрии;США, Атланта , Hyatt Regency Atlanta and Marriott Atlanta Marquis; с 25 по 30 октября ;American Academy of Child and Adolescent Psychiatry;https://expomap.ru/conference/annual-meeting-of-the-american-academy-of-child-and-adolescent-psychiatry-aacap-2021/
FUTR World Middle East 2021 - конференция торговли и ритейла;ОАЭ, Абу-Даби , MAS Centre; с 18 по 20 марта с 9 по 11 декабря ;Millennial 20 20 Ltd;https://expomap.ru/conference/futr-world-middle-east-2021/
An Event Apart San Francisco 2021 - конференция для веб-разработчиков;США, Сан-Франциско , Westin St. Francis; с 13 по 15 декабря ;An Event Apart LLC;https://expomap.ru/conference/an-event-apart-san-francisco-2021/
