Название гранта;Ссылка;Описание;Дедлайн;Место
International Conference on Architecture Engineering and Technology (AET) Egypt 2021;https://expomap.ru/conference/international-conference-on-architecture-engineering-and-technology-aet-egypt-2021/;Международная конференция по проектированию и архитектуре;"с

            
                11
            

            по

            
                13 января";Онлайн, Веб
Landscape Ontario Congress 2021;https://expomap.ru/conference/landscape-ontario-congress-2021/;Конференция по ландшафтному дизайну;"с

            
                12
            

            по

            
                14 января";Онлайн, Веб
PCMA Convening Leaders 2021;https://expomap.ru/conference/pcma-convening-leaders-2021/;Встреча руководителей индустрии встреч;"с

            
                11
            

            по

            
                15 января";Онлайн, Веб
Vancouver Resource Investment Conference (VRIC) 2021;https://expomap.ru/conference/vancouver-resource-investment-conference-vric-2021/;Инвестиционный конгресс;"с

            
                17
            

            по

            
                18 января";Канада, Ванкувер
ASPN Annual Meeting 2021;https://expomap.ru/conference/aspn-annual-meeting-2021/;Собрание Американского общества по восстановлению периферических нервов;"с

            
                15
            

            по

            
                22 января";Онлайн, Веб
International Luxury Property and Residency Conference Davos 2021;https://expomap.ru/conference/international-luxury-property-and-residency-conference-davos-2021/;Международная выставка и конференция элитной недвижимости;"с

            
                21
            

            по

            
                25 январяНовые даты не анонсированы";Швейцария, Давос
Facilities Management (FM) Forum 2021;https://expomap.ru/conference/facilities-management-fm-forum-2021/;Форум по управлению и облслуживанию объектов недвижимости;"с

            
                25
            

            по

            
                26 января";Онлайн, Веб
Банковское самообслуживание, ритейл и НДО 2021;https://expomap.ru/conference/bankovskoe-samoobsluzhivanie-ritejl-i-ndo-2021/;Международный ПЛАС-форум;"с

            
                26
            

            по

            
                27 января";Россия, Москва
Платежный бизнес 2021;https://expomap.ru/conference/platezhnyj-biznes-2021/;Международный ПЛАС-Форум;"с

            
                26
            

            по

            
                27 января";Россия, Москва
Управление корпоративным автопарком в России 2021;https://expomap.ru/conference/upravlenie-korporativnym-avtoparkom-v-rossii-2021/;Конференция;28 января 2021;Россия, Москва
EFEA 2021;https://expomap.ru/conference/efea-2021/;Евразийский ивент форум;"с

            
                27
            

            по

            
                29 января";Россия, Санкт-Петербург
Event LIVE 2021;https://expomap.ru/conference/event-live-2021/;Форум для профессионалов ивент индустрии;29 января 2021;Россия, Санкт-Петербург
Digital Pathology & AI Congress: Asia 2021;https://expomap.ru/conference/digital-pathology-ai-congress-asia-2021/;Конференция по цифровому диагностированию патологий;"с

            
                28
            

            по

            
                29 январяНовые даты не анонсированы";Южная Корея, Сеул
Go West 2021;https://expomap.ru/conference/go-west-2021/;Международная конференция по решениям и технологиям для событийной индустрии;"с

            
                
                    31 января
                
            

            по

            
                2 февраля";Канада, Эдмонтон
International Conference on Waste Management and Remediation Engineering (ICWMRE) 2021;https://expomap.ru/conference/international-conference-on-waste-management-and-remediation-engineering-icwmre-2021/;Международная конференция по управлению отходами;"с

            
                1
            

            по

            
                2 февраля";Онлайн, Веб
SuperReturn US West 2021;https://expomap.ru/conference/superreturn-us-west-2021/;Финансовая конференция;"с

            
                2
            

            по

            
                3 февраля";США, Лос-Анджелес
Aerospace & Defense Sevilla 2021;https://expomap.ru/conference/aerospace-defense-sevilla-2021/;Международная конвенция авиационно-космической промышленности;"с

            
                2
            

            по

            
                4 февраля";Испания, Севилья
Cospar 2021;https://expomap.ru/conference/cospar-2021/;Международная конференция по космосу (оффлайн+онлайн);"с

            
                
                    28 января
                
            

            по

            
                4 февраля";Австралия, Сидней
Big Trade-Marketing Show 2021;https://expomap.ru/conference/big-trade-marketing-show-2021/;Бизнес-форум по торговому маркетингу;5 февраля 2021;Украина, Киев
International Conference on Computing Science, Communication and Security (COMS2) & Doctoral Colloquium 2021;https://expomap.ru/conference/international-conference-on-computing-science-communication-and-security-coms2-doctoral-colloquium-2021/;Международная конференция по вычислительной технике, коммуникациям и безопасности;"с

            
                6
            

            по

            
                7 февраля";Индия, Мехсана
Creativity, Critical Thinking and Problem Solving Conference Mumbai 2021;https://expomap.ru/conference/creativity-critical-thinking-and-problem-solving-conference-mumbai-2021/;Международная конференция по принятию решений;8 февраля 2021;Индия, Мумбаи
Creativity, Critical Thinking and Problem Solving Conference Lisbon 2021;https://expomap.ru/conference/creativity-critical-thinking-and-problem-solving-conference-lisbon-2021/;Международная конференция по принятию решений;"с

            
                8
            

            по

            
                9 февраля";Онлайн, Веб
NADA Convention 2021;https://expomap.ru/conference/nada-convention-2021/;Конференция и выставка автомобильных дилеров;"с

            
                21
            

            по

            
                24 январяс

            
                9
            

            по

            
                11 февраля";Онлайн, Веб
ASHRAE Winter Conference 2021;https://expomap.ru/conference/ashrae-winter-conference-2021/;Конференция по вопросам климат-контроля;"с

            
                23
            

            по

            
                27 январяс

            
                9
            

            по

            
                11 февраля";Онлайн, Веб
АгроЮг 2021;https://expomap.ru/conference/agrojug-2021/;Международный инвестиционный форум;11 февраля 2021Новые даты не анонсированы;Россия, Ставрополь
Routes Americas 2021;https://expomap.ru/conference/routes-americas-2021/;Конференция по разработке авиационных маршрутов;"с

            
                9
            

            по

            
                11 февраля";Колумбия, Богота
Nuclear Deterrence Summit 2021;https://expomap.ru/conference/nuclear-deterrence-summit-2021/;Саммит по ядерному сдерживанию;"с

            
                9
            

            по

            
                11 февраляНовые даты не анонсированы";США, Александрия
ТБ Форум 2021;https://expomap.ru/conference/tb-forum-2021/;Международный форум по технологиям безопасности;"с

            
                9
            

            по

            
                11 февраля";Россия, Москва
TradeTech FX USA 2021;https://expomap.ru/conference/tradetech-fx-usa-2021/;Конференция по системам торговли;"с

            
                9
            

            по

            
                11 февраля";Онлайн, Веб
Цифровой ритейл: диалог на высшем уровне 2021;https://expomap.ru/conference/tsifrovoj-ritejl-dialog-na-vysshem-urovne-2021/;Конференция по вопросам рыночного бизнеса;11 февраля 2021;Россия, Москва
PR+ Forum 2021;https://expomap.ru/conference/pr-forum-2021/;Всероссийский форум профессионалов сферы PR;"с

            
                10
            

            по

            
                12 февраля";Россия, Москва
OOP 2021;https://expomap.ru/conference/oop-2021/;Конференция по программированию и архитектуре программного обеспечения;"с

            
                8
            

            по

            
                12 февраля";Германия, Мюнхен
PaperWeek Canada 2021;https://expomap.ru/conference/paperweek-canada-2021/;Выставка целлюлозно-бумажной технической ассоциации Канады;"с

            
                8
            

            по

            
                12 февраля";Канада, Монреаль
Australian Small Bridges Conference 2021;https://expomap.ru/conference/australian-small-bridges-conference-2021/;Международная конференция по мостам для автомобильного, железнодорожного и велосипедного транспорта;"с

            
                15
            

            по

            
                16 февраля";Австралия, Голд-Кост
Внутренний контроль и внутренний аудит как инструменты повышения эффективности бизнеса 2021;https://expomap.ru/conference/vnutrennij-kontrol-i-vnutrennij-audit-kak-instrumenty-povyshenija-effektivnosti-biznesa-2021/;Конференция;16 февраля 2021;Россия, Москва
Oceanology International North America 2021;https://expomap.ru/conference/oceanology-international-north-america-2021/;Международный форум океанологов;"с

            
                16
            

            по

            
                17 февраля";США, Сан-Диего
World HRD Congress 2021;https://expomap.ru/conference/world-hrd-congress-2021/;Международный конгресс по подбору персонала;"с

            
                15
            

            по

            
                17 февраля";Индия, Мумбаи
Гидроэнергетика. Каспий и Центральная Азия 2021;https://expomap.ru/conference/gidroenergetika-kaspij-i-tsentralnaja-azija-2021/;Международный конгресс и выставка по гидроэнергетике;"с

            
                17
            

            по

            
                18 февраля";Узбекистан, Ташкент
SPIE Medical Imaging 2021;https://expomap.ru/conference/spie-medical-imaging-2021/;Международная конференция по медицинской визуализации;"с

            
                14
            

            по

            
                18 февраля";США, Сан-Диего
World CSR Day 2021;https://expomap.ru/conference/world-csr-day-2021/;Международный конгресс по вопросам КСО;18 февраля 2021;Индия, Мумбаи
All in Top Conf 2021;https://expomap.ru/conference/all-in-top-conf-2021/;Профессиональная практическая SEO конференция;"с

            
                17
            

            по

            
                18 февраля";Россия, Москва
Nitrogen + Syngas USA 2021;https://expomap.ru/conference/nitrogen-syngas-usa-2021/;Международная выставка и конференция производства азота и сингаза;"с

            
                16
            

            по

            
                18 февраля";Онлайн, Веб
МАК 2021;https://expomap.ru/conference/mak-2021/;Межрегиональная агропромышленная конференция;"с

            
                17
            

            по

            
                18 февраля";Россия, Челябинск
Информационные технологии в казначействе 2021;https://expomap.ru/conference/informatsionnyie-tehnologii-v-kaznachejstve-2021/;Конференция;18 февраля 2021;Россия, Москва
Зерно России 2021;https://expomap.ru/conference/zerno-rossii-2021/;Международный сельскохозяйственный форум;19 февраля 2021;Россия, Краснодар
SAM Symposium 2021;https://expomap.ru/conference/sam-symposium-2021/;Международный симпозиум по эстетической медицине;"с

            
                20
            

            по

            
                22 январяс

            
                17
            

            по

            
                19 февраля";Россия, Москва
EUEC 2021;https://expomap.ru/conference/euec-2021/;Конференция по энергетике и состоянию окружающей среды;"с

            
                8
            

            по

            
                19 февраля";Онлайн, Веб
Shift Your Perspective to Next Gen Pricing 2021;https://expomap.ru/conference/shift-your-perspective-to-next-gen-pricing-2021/;Международная конференция по ценообразованию (оффлайн+онлайн);"с

            
                18
            

            по

            
                19 февраля";Россия, Сочи
Networking Show Conference 2021;https://expomap.ru/conference/networking-show-conference-2021/;Конференция о новых тенденциях бизнес-коммуникаций и современных возможностях;"с

            
                19
            

            по

            
                20 февраля";Россия, Москва
Primed South Conference 2021;https://expomap.ru/conference/primed-south-conference-2021/;Международная медицинская конференция;"с

            
                18
            

            по

            
                21 февраля";США, Орландо
SPIE Advanced Lithography 2021;https://expomap.ru/conference/spie-advanced-lithography-2021/;Международная конференция по микролитографии;"с

            
                21
            

            по

            
                25 февраля";США, Сан-Хосе
World Sustainable Energy Days (WSED) 2021;https://expomap.ru/conference/world-sustainable-energy-days-wsed-2021/;Специализированная выставка и конференция по энергетической промышленности;"с

            
                24
            

            по

            
                26 февраля";Австрия, Вельс
Customer Contact Week Disrupt 2021;https://expomap.ru/conference/cutomerl-contact-disrupt-2021/;Конференция по вопросам работы контактных центров (оффлайн+онлайн);"с

            
                23
            

            по

            
                26 февраля";Австралия, Сидней
Управление закупками в компании 2021;https://expomap.ru/conference/upravlenie-zakupkami-v-kompanii-2021/;Специализаированная конференция;26 февраля 2021;Россия, Москва
MPA Convention And Exposition 2021;https://expomap.ru/conference/mpa-convention-and-exposition-2021/;Международный конвент и выставка здравоохранения;"с

            
                26
            

            по

            
                27 февраля";Онлайн, Веб
Медицинская помощь при травмах 2021;https://expomap.ru/conference/meditsinskaja-pomosch-pri-travmah-2021/;"Международный конгресс на тему ""Новое в организации и технологиях. Роль национальной общественной профессиональной организации травматологов в системе здравоохранения РФ""";"с

            
                26
            

            по

            
                27 февраля";Россия, Санкт-Петербург
FACE ASEAN 2021;https://expomap.ru/conference/face-asean-2021/;Конференция и выставка по эстетической медицине лица;"с

            
                27
            

            по

            
                28 февраля";Индонезия, Бали
Face & Body Conference Midwest 2021;https://expomap.ru/conference/face-body-conference-midwest-2021/;Международная конференция косметологов по уходу за кожей;"с

            
                
                    28 февраля
                
            

            по

            
                1 марта";США, Роузмонт
MRO Middle East Summit 2021;https://expomap.ru/conference/mro-middle-east-2021/;Саммит по техобслуживанию в коммерческой авиации;1 марта 2021;ОАЭ, Дубай
MALT Congress 2021;https://expomap.ru/conference/malt-congress-2021/;Международная конференция MICE и роскошного туризма;"с

            
                1
            

            по

            
                2 марта";ОАЭ, Дубай
Social Media Marketing World 2021;https://expomap.ru/conference/social-media-marketing-world-2021/;Конференция по социальным медиа;"с

            
                
                    28 февраля
                
            

            по

            
                2 марта";США, Сан-Диего
GR Force 2021;https://expomap.ru/conference/gr-force-2021/;Форум о взаимодействии бизнеса и власти;2 марта 2021;Россия, Москва
DealMaker Los Angeles 2021;https://expomap.ru/conference/dealmaker-los-angeles-2021/;Конференция по ведению бизнеса, маркетингу и рекламе;"с

            
                2
            

            по

            
                3 мартаНовые даты не анонсированы";США, Лос-Анджелес
Nitrogen + Syngas Rome 2021;https://expomap.ru/conference/nitrogen-syngas-rome-2021/;Международная выставка и конференция производства азота и сингаза;"с

            
                1
            

            по

            
                3 марта";Италия, Рим
ICCX Central Europe 2021;https://expomap.ru/conference/iccx-central-europe-2021/;Международная конференция и выставка по бетону;"с

            
                3
            

            по

            
                4 марта";Польша, Варшава
Summit for Clinical Trials Ops Executives (SCOPE) 2021;https://expomap.ru/conference/summit-for-clinical-trials-ops-executives-scope-2021/;Конференция по вопросам клинических исследований;"с

            
                2
            

            по

            
                4 марта";Онлайн, Веб
Smart Building 2021;https://expomap.ru/conference/smart-building-2021/;Международный форум;"с

            
                3
            

            по

            
                4 марта";Украина, Киев
Digital Future Congress Frankfurt 2021;https://expomap.ru/conference/digital-future-congress-frankfurt-2021/;Конференция по информационным технологиям;4 марта 2021;Германия, Франкфурт
Scope Summit for Clinical OPS Executives 2021;https://expomap.ru/conference/scope-summit-for-clinical-ops-executives-2021/;Ежегодная конференция по вопросам клинических исследований;"с

            
                1
            

            по

            
                4 марта";США, Орландо
Даунстрим Россия 2021;https://expomap.ru/conference/daunstrim-rossija-2021/;Конференция о строительстве и модернизации НПЗ,ГПЗ и НХП;"с

            
                2
            

            по

            
                4 марта";Россия, Краснодар
THE CEO'S PR 2021;https://expomap.ru/conference/the-ceos-pr-2021/;Практический форум по продвижению первых лиц;4 марта 2021;Россия, Москва
Российский форум полеводов 2021;https://expomap.ru/conference/rossijskij-forum-polevodov-2021/;Сельскохозяйственный форум;21 мая 20215 марта 2021;Россия, Краснодар
American Montessori Society Conference 2021;https://expomap.ru/conference/american-montessori-society-conference-2021/;Конференция членов Общества педагогики Монтессори США;"с

            
                5
            

            по

            
                6 марта";Онлайн, Веб
Congress of the Brazilian Society of Retina and Vitreous 2021;https://expomap.ru/conference/congress-of-the-brazilian-society-of-retina-and-vitreous-2021/;Конгресс по офтальмологии;"с

            
                3
            

            по

            
                6 марта";Бразилия, Сан-Паулу
Pacific Dental Conference 2021;https://expomap.ru/conference/pacific-dental-conference-2021/;Тихоокеанская стоматологическая конференция и выставка;"с

            
                4
            

            по

            
                6 марта";Онлайн, Веб
BIO Asia 2021;https://expomap.ru/conference/bio-asia-2021/;Международная конференция по биотехнологиям;"с

            
                9
            

            по

            
                10 марта";Япония, Токио
North Carolina Airports Association Conference 2021;https://expomap.ru/conference/north-carolina-airports-association-conference-2021/;Конференция по гражданской авиации;"с

            
                9
            

            по

            
                11 марта";США, Пайнхерст
Pittcon 2021;https://expomap.ru/conference/pittcon-2021/;Международная выставка и конференция контрольно-измерительной аппаратуры;"с

            
                8
            

            по

            
                12 марта";Онлайн, Веб
International Drilling Conference and Exhibition 2021;https://expomap.ru/conference/international-drilling-conference-and-exhibition-2021/;Международная конференция и выставка по бурению;"с

            
                8
            

            по

            
                12 марта";Онлайн, Веб
Future Food-Tech 2021;https://expomap.ru/conference/future-food-tech-2021/;Международная конференция по вопросам технологий и инноваций в пищевой промышленности;"с

            
                11
            

            по

            
                12 марта";Онлайн, Веб
DGKN Congress 2021;https://expomap.ru/conference/dgkn-congress-2021/;Конгресс по нейрофизиологии и функциональной визуализации;"с

            
                10
            

            по

            
                12 марта";Германия, Франкфурт
International Society of Heart Research Meeting (ISHR) Japan 2021;https://expomap.ru/conference/international-society-of-heart-research-meeting-ishr-japan-2021/;Собрание международного общества исследования болезней сердца;"с

            
                11
            

            по

            
                13 марта";Япония, Токио
Hillsong Colour Conference 2021;https://expomap.ru/conference/hillsong-colour-conference-1-sydney-2021/;Всемирная женская конференция;"с

            
                12
            

            по

            
                13 марта";Онлайн, Веб
Hillsong Colour Conference 2 Sydney 2021;https://expomap.ru/conference/hillsong-colour-conference-2-sydney-2021/;Всемирная женская конференция;"с

            
                11
            

            по

            
                13 марта";Австралия, Сидней
Russian Barista Days (RBD) 2021;https://expomap.ru/conference/russian-barista-days-rbd-2021/;Российские Дни Бариста;"с

            
                11
            

            по

            
                13 марта";Россия, Москва
Sold Out 2021;https://expomap.ru/conference/sold-out-2021/;Конференция об организации и продвижении мероприятий;"с

            
                13
            

            по

            
                14 марта";Россия, Санкт-Петербург
eTail Germany 2021;https://expomap.ru/conference/etail-germany-2021/;Конференция по технологиям розничной торговли;"с

            
                16
            

            по

            
                17 марта";Онлайн, Веб
Aerospace & Defense Supplier Summit Seattle 2021;https://expomap.ru/conference/aerospace-defense-supplier-summit-seattle-2021/;Международный саммит авиационно-космической промышленности;"с

            
                15
            

            по

            
                17 марта";США, Сиэтл
Транзакционный бизнес 2021;https://expomap.ru/conference/tranzaktsionnyij-biznes-2021/;Всероссийский банковский форум;17 марта 2021;Россия, Москва
Централизованное казначейство 2021;https://expomap.ru/conference/tsentralizovannoe-kaznachejstvo-2021/;Конференция;"с

            
                16
            

            по

            
                17 марта";Россия, Москва
Internet Retailing Expo 2021;https://expomap.ru/conference/internet-retailing-expo-2021/;Конференция по вопросам ритейла;"с

            
                17
            

            по

            
                18 марта";Великобритания, Бирмингем
Форум фермерских технологий 2021;https://expomap.ru/conference/forum-fermerskih-tehnologij-2021/;Специализированный форум для фермеров;"с

            
                16
            

            по

            
                18 марта";Украина, Киев
СПГ Конгресс Россия 2021;https://expomap.ru/conference/spg-kongress-rossija-2021/;"Международный конгресс для руководителей
крупно-, средне- и малотоннажных СПГ-заводов";"с

            
                17
            

            по

            
                18 марта";Россия, Москва
Pipeline Technology Conference (PTC) 2021;https://expomap.ru/conference/pipeline-technology-conference-ptc-2021/;Конференция трубопроводной промышленности;"с

            
                16
            

            по

            
                18 марта";Германия, Берлин
Sustainable Foods Summit Singapore 2021;https://expomap.ru/conference/sustainable-foods-summit-singapore-2021/;Саммит по устойчивым пищевым продуктам;"с

            
                15
            

            по

            
                18 марта";Онлайн, Веб
HealthCare Week Australia 2021;https://expomap.ru/conference/healthcare-week-australia-2021/;Конференция по уходу за престарелыми;"с

            
                17
            

            по

            
                18 марта";Австралия, Сидней
FMCG & RETAIL TRADE MARKETING FORUM 2021;https://expomap.ru/conference/fmcg-retail-trade-marketing-forum-2021/;Всероссийский форум по торговому маркетингу в сфере товаров повседневного спроса;"с

            
                17
            

            по

            
                19 марта";Россия, Москва
Fincome. Непроцентные доходы 2021;https://expomap.ru/conference/fincome-neprotsentnye-dohody-2021/;Всероссийский банковский форум;"с

            
                18
            

            по

            
                19 марта";Россия, Москва
Форум финансовых директоров строительной отрасли 2021;https://expomap.ru/conference/forum-finansovyih-direktorov-stroitelnoj-otrasli-2021/;Форум;"с

            
                18
            

            по

            
                19 марта";Россия, Москва
International Conference on Advanced Computing and Communication Systems (ICACCS) 2021;https://expomap.ru/conference/international-conference-on-advanced-computing-and-communication-systems-icaccs-2021/;Международная конференция по передовым компьютерным и коммуникационным системам;"с

            
                19
            

            по

            
                20 марта";Индия, Коимбатур
Annual SPA Convention 2021;https://expomap.ru/conference/annual-spa-convention-2021/;Конференция по личностному росту;"с

            
                17
            

            по

            
                20 марта";США, Бостон
Cancun Anesthesia Seminar 2021;https://expomap.ru/conference/cancun-anesthesia-seminar-2021/;Семинар по анестезии;"с

            
                13
            

            по

            
                20 марта";Мексика, Канкун
Hillsong Colour Conference New York 2021;https://expomap.ru/conference/hillsong-colour-conference-new-york-2021/;Всемирная женская конференция;"с

            
                19
            

            по

            
                20 марта";США, Нью-Йорк
Благополучие и вовлеченность персонала 2021;https://expomap.ru/conference/blagopoluchie-i-vovlechennost-personala-2021/;Форум (оффлайн+онлайн);"с

            
                19
            

            по

            
                20 марта";Россия, Москва
European Conference on Pharmaceutics 2021;https://expomap.ru/conference/european-conference-on-pharmaceutics-2021/;Фармацевтическая конференция;"с

            
                22
            

            по

            
                23 марта";Франция, Марсель
Передовые Технологии Автоматизации. ПТА - Уфа 2021;https://expomap.ru/conference/peredovye-tehnologii-avtomatizatsii-pta-ufa-2021/;Специализированная конференция по промышленной автоматизации и встраиваемым системам;24 марта 2021;Россия, Уфа
Customer Contact Week Asia 2021;https://expomap.ru/conference/cutomerl-contact-week-asia-2021/;Ежегодная конференция по вопросам работы контактных центров Азии;"с

            
                22
            

            по

            
                24 марта";Онлайн, Веб
Next Generation Customer Experience (NGCX) 2021;https://expomap.ru/conference/next-generation-customer-experience-ngcx-2021/;Конференция по вопросам межотраслевых стратегий повышения качества обслуживания клиентов;"с

            
                22
            

            по

            
                24 мартаНовые даты не анонсированы";США, Индиан-Уэллс
Управление талантами 2021;https://expomap.ru/conference/upravlenie-talantami-2021/;Всероссийский HR-Форум;24 марта 2021;Россия, Москва
Корпоративное налоговое планирование 2021;https://expomap.ru/conference/korporativnoe-nalogovoe-planirovanie-2021/;Конференция;"с

            
                23
            

            по

            
                24 марта";Россия, Москва
APAIE 2021;https://expomap.ru/conference/apaie-2021/;Международная конференция по образованию;"с

            
                21
            

            по

            
                25 марта";Канада, Ванкувер
NFMT 2021;https://expomap.ru/conference/nfmt-2021/;Международная выставка и конференция по вопросам реконструкции и восстановительных работ над нежилыми зданиями;"с

            
                23
            

            по

            
                25 марта";США, Балтимор
